LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
586;253170370;UPI£KA;Wda;53 56 49;17 56 49;141
587;253180270;SK”RCZ-RYZOWIE;Wierzyca;53 47 18;18 32 13;85
588;250180690;PILCHOWICE;50 13 27;18 35 31;18 35 31
589;249201030;DOBRA;49 43 39;20 16 24;427
590;250190780;B DKOWICE;50 10 45;19 46 10;434
591;249210350;MOSZCZANIEC;49 25 20;21 54 45;467
592;249220370;ZATWARNICA;49 12 57;22 33 08
593;250161030;RZECZKA;50 40 36;16 26 51;624
594;251210320;KAZAN”W;51 16 42;21 28 03;158
595;249180580;GOCZA£KOWICE;49 56 19;18 56 02;259
596;249201050;KR”L”WKA;49 53 14;20 26 00;291
597;249210280;KUNKOWA;49 33 02;21 07 36;420
598;249180570;MI DZYRZECZE G”RNE;49 50 22;18 55 42;
599;253220360;BIERNATKI;53 52 04;22 51 12
600;254180270;ZELEWO;54 37 23;18 04 31;43
601;250170850;KUJAWY;50 26 13;17 48 14;180
602;250180710;BOGUSZYCE;50 26 13;18 30 37;211
603;251170440;DRO£TOWICE;51 20 06;17 35 46;200
604;250180670;TRZEBISZYN;50 51 54;18 11 27;196
605;250160950;KWIETNIKI;50 58 01;16 08 34;256
606;250190260;GOLCZOWICE;50 21 36;19 35 45;324
